ensembl_gene_id	external_gene_name	external_gene_name.1	description	biotype
ENSG00000143674	MAP3K21	MAP3K21	mitogen-activated protein kinase kinase kinase 21 [Source:HGNC Symbol;Acc:HGNC:29798]	Gene
ENSG00000143753	DEGS1	DEGS1	delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]	Gene
ENSG00000143771	CNIH4	CNIH4	cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]	Gene
ENSG00000143772	ITPKB	ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	Gene
ENSG00000143776	CDC42BPA	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	Gene
ENSG00000143786	CNIH3	CNIH3	cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]	Gene
ENSG00000143793	C1orf35	C1orf35	chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]	Gene
ENSG00000143797	MBOAT2	MBOAT2	membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]	Gene
ENSG00000143799	PARP1	PARP1	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	Gene
ENSG00000143815	LBR	LBR	lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]	Gene
ENSG00000143819	EPHX1	EPHX1	epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]	Gene
ENSG00000143850	PLEKHA6	PLEKHA6	pleckstrin homology domain containing A6 [Source:HGNC Symbol;Acc:HGNC:17053]	Gene
ENSG00000143867	OSR1	OSR1	odd-skipped related transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8111]	TF
ENSG00000143870	PDIA6	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	Gene
ENSG00000143878	RHOB	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	Gene
ENSG00000143994	ABHD1	ABHD1	abhydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17553]	Gene
ENSG00000144031	ANKRD53	ANKRD53	ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]	Gene
ENSG00000144115	THNSL2	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	Gene
ENSG00000144134	RABL2A	RABL2A	RAB, member of RAS oncogene family like 2A [Source:HGNC Symbol;Acc:HGNC:9799]	Gene
ENSG00000144182	LIPT1	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]	Gene
ENSG00000144214	LYG1	LYG1	lysozyme g1 [Source:HGNC Symbol;Acc:HGNC:27014]	Gene
ENSG00000144230	GPR17	GPR17	G protein-coupled receptor 17 [Source:HGNC Symbol;Acc:HGNC:4471]	Gene
ENSG00000144278	GALNT13	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]	Gene
ENSG00000144290	SLC4A10	SLC4A10	solute carrier family 4 member 10 [Source:HGNC Symbol;Acc:HGNC:13811]	Gene
ENSG00000144306	SCRN3	SCRN3	secernin 3 [Source:HGNC Symbol;Acc:HGNC:30382]	Gene
ENSG00000144354	CDCA7	CDCA7	cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]	Gene
ENSG00000144366	GULP1	GULP1	GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]	Gene
ENSG00000144369	FAM171B	FAM171B	family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]	Gene
ENSG00000144445	KANSL1L	KANSL1L	KAT8 regulatory NSL complex subunit 1 like [Source:HGNC Symbol;Acc:HGNC:26310]	Gene
ENSG00000144460	NYAP2	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 [Source:HGNC Symbol;Acc:HGNC:29291]	Gene
ENSG00000144554	FANCD2	FANCD2	FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]	Gene
ENSG00000144644	GADL1	GADL1	glutamate decarboxylase like 1 [Source:HGNC Symbol;Acc:HGNC:27949]	Gene
ENSG00000144647	POMGNT2	POMGNT2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:HGNC Symbol;Acc:HGNC:25902]	Gene
ENSG00000144674	GOLGA4	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	Gene
ENSG00000144677	CTDSPL	CTDSPL	CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]	Gene
ENSG00000144711	IQSEC1	IQSEC1	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	Gene
ENSG00000144712	CAND2	CAND2	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	Gene
ENSG00000144747	TMF1	TMF1	TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]	Gene
ENSG00000144810	COL8A1	COL8A1	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	Gene
ENSG00000144837	PLA1A	PLA1A	phospholipase A1 member A [Source:HGNC Symbol;Acc:HGNC:17661]	Gene
ENSG00000144843	ADPRH	ADPRH	ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]	Gene
ENSG00000144852	NR1I2	NR1I2	nuclear receptor subfamily 1 group I member 2 [Source:HGNC Symbol;Acc:HGNC:7968]	TF
ENSG00000144857	BOC	BOC	BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]	Gene
ENSG00000144868	TMEM108	TMEM108	transmembrane protein 108 [Source:HGNC Symbol;Acc:HGNC:28451]	Gene
ENSG00000144908	ALDH1L1	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	Gene
ENSG00000144959	NCEH1	NCEH1	neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]	Gene
ENSG00000145002	FAM86B2	FAM86B2	family with sequence similarity 86 member B2 [Source:HGNC Symbol;Acc:HGNC:32222]	Gene
ENSG00000145020	AMT	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	Gene
ENSG00000145087	STXBP5L	STXBP5L	syntaxin binding protein 5L [Source:HGNC Symbol;Acc:HGNC:30757]	Gene
ENSG00000145103	ILDR1	ILDR1	immunoglobulin like domain containing receptor 1 [Source:HGNC Symbol;Acc:HGNC:28741]	Gene
ENSG00000145147	SLIT2	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	Gene
ENSG00000145194	ECE2	ECE2	endothelin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13275]	Gene
ENSG00000145214	DGKQ	DGKQ	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	Gene
ENSG00000145217	SLC26A1	SLC26A1	solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]	Gene
ENSG00000145242	EPHA5	EPHA5	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	Gene
ENSG00000145247	OCIAD2	OCIAD2	OCIA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28685]	Gene
ENSG00000145283	SLC10A6	SLC10A6	solute carrier family 10 member 6 [Source:HGNC Symbol;Acc:HGNC:30603]	Gene
ENSG00000145284	SCD5	SCD5	stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088]	Gene
ENSG00000145287	PLAC8	PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	Gene
ENSG00000145293	ENOPH1	ENOPH1	enolase-phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:24599]	Gene
ENSG00000145321	GC	GC	GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187]	Gene
ENSG00000145331	TRMT10A	TRMT10A	tRNA methyltransferase 10A [Source:HGNC Symbol;Acc:HGNC:28403]	Gene
ENSG00000145337	PYURF	PYURF	PIGY upstream open reading frame [Source:HGNC Symbol;Acc:HGNC:44317]	Gene
ENSG00000145384	FABP2	FABP2	fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]	Gene
ENSG00000145416	MARCHF1	MARCHF1	membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]	Gene
ENSG00000145423	SFRP2	SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	Gene
ENSG00000145439	CBR4	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	Gene
ENSG00000145506	NKD2	NKD2	NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046]	Gene
ENSG00000145536	ADAMTS16	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	Gene
ENSG00000145545	SRD5A1	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	Gene
ENSG00000145569	OTULINL	OTULINL	OTU deubiquitinase with linear linkage specificity like [Source:HGNC Symbol;Acc:HGNC:25629]	Gene
ENSG00000145623	OSMR	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	Gene
ENSG00000145703	IQGAP2	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	Gene
ENSG00000145725	PPIP5K2	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035]	Gene
ENSG00000145743	FBXL17	FBXL17	F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]	Gene
ENSG00000145779	TNFAIP8	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	Gene
ENSG00000145794	MEGF10	MEGF10	multiple EGF like domains 10 [Source:HGNC Symbol;Acc:HGNC:29634]	Gene
ENSG00000145808	ADAMTS19	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	Gene
ENSG00000145824	CXCL14	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	Gene
ENSG00000145882	PCYOX1L	PCYOX1L	prenylcysteine oxidase 1 like [Source:HGNC Symbol;Acc:HGNC:28477]	Gene
ENSG00000145982	FARS2	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]	Gene
ENSG00000145996	CDKAL1	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050]	Gene
ENSG00000146005	PSD2	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	Gene
ENSG00000146054	TRIM7	TRIM7	tripartite motif containing 7 [Source:HGNC Symbol;Acc:HGNC:16278]	Gene
ENSG00000146066	HIGD2A	HIGD2A	HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311]	Gene
ENSG00000146072	TNFRSF21	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	Gene
ENSG00000146122	DAAM2	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	Gene
ENSG00000146151	HMGCLL1	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:HGNC Symbol;Acc:HGNC:21359]	Gene
ENSG00000146216	TTBK1	TTBK1	tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140]	Gene
ENSG00000146233	CYP39A1	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	Gene
ENSG00000146242	TPBG	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	Gene
ENSG00000146247	PHIP	PHIP	pleckstrin homology domain interacting protein [Source:HGNC Symbol;Acc:HGNC:15673]	Gene
ENSG00000146282	RARS2	RARS2	arginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21406]	Gene
ENSG00000146376	ARHGAP18	ARHGAP18	Rho GTPase activating protein 18 [Source:HGNC Symbol;Acc:HGNC:21035]	Gene
ENSG00000146410	MTFR2	MTFR2	mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]	Gene
ENSG00000146574	CCZ1B	CCZ1B	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]	Gene
ENSG00000146648	EGFR	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	Gene
ENSG00000146676	PURB	PURB	purine rich element binding protein B [Source:HGNC Symbol;Acc:HGNC:9702]	TF
ENSG00000146701	MDH2	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	Gene
ENSG00000146733	PSPH	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	Gene
ENSG00000146802	TMEM168	TMEM168	transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]	Gene
ENSG00000146809	ASB15	ASB15	ankyrin repeat and SOCS box containing 15 [Source:HGNC Symbol;Acc:HGNC:19767]	Gene
ENSG00000146842	TMEM209	TMEM209	transmembrane protein 209 [Source:HGNC Symbol;Acc:HGNC:21898]	Gene
ENSG00000146904	EPHA1	EPHA1	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]	Gene
ENSG00000146950	SHROOM2	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	Gene
ENSG00000147036	LANCL3	LANCL3	LanC like 3 [Source:HGNC Symbol;Acc:HGNC:24767]	Gene
ENSG00000147041	SYTL5	SYTL5	synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589]	Gene
ENSG00000147119	CHST7	CHST7	carbohydrate sulfotransferase 7 [Source:HGNC Symbol;Acc:HGNC:13817]	Gene
ENSG00000147124	ZNF41	ZNF41	zinc finger protein 41 [Source:HGNC Symbol;Acc:HGNC:13107]	TF
ENSG00000147160	AWAT2	AWAT2	acyl-CoA wax alcohol acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23251]	Gene
ENSG00000147164	SNX12	SNX12	sorting nexin 12 [Source:HGNC Symbol;Acc:HGNC:14976]	Gene
ENSG00000147202	DIAPH2	DIAPH2	diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]	Gene
ENSG00000147246	HTR2C	HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	Gene
ENSG00000147251	DOCK11	DOCK11	dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483]	Gene
ENSG00000147255	IGSF1	IGSF1	immunoglobulin superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:5948]	Gene
ENSG00000147383	NSDHL	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	Gene
ENSG00000147408	CSGALNACT1	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]	Gene
ENSG00000147419	CCDC25	CCDC25	coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]	Gene
ENSG00000147434	CHRNA6	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit [Source:HGNC Symbol;Acc:HGNC:15963]	Gene
ENSG00000147485	PXDNL	PXDNL	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]	Gene
ENSG00000147488	ST18	ST18	ST18 C2H2C-type zinc finger transcription factor [Source:HGNC Symbol;Acc:HGNC:18695]	TF
ENSG00000147533	GOLGA7	GOLGA7	golgin A7 [Source:HGNC Symbol;Acc:HGNC:24876]	Gene
ENSG00000147606	SLC26A7	SLC26A7	solute carrier family 26 member 7 [Source:HGNC Symbol;Acc:HGNC:14467]	Gene
ENSG00000147650	LRP12	LRP12	LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]	Gene
ENSG00000147676	MAL2	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	Gene
ENSG00000147789	ZNF7	ZNF7	zinc finger protein 7 [Source:HGNC Symbol;Acc:HGNC:13139]	TF
ENSG00000147804	SLC39A4	SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]	Gene
ENSG00000147853	AK3	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	Gene
ENSG00000147869	CER1	CER1	cerberus 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:1862]	Gene
ENSG00000147912	FBXO10	FBXO10	F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]	Gene
ENSG00000148123	PLPPR1	PLPPR1	phospholipid phosphatase related 1 [Source:HGNC Symbol;Acc:HGNC:25993]	Gene
ENSG00000148175	STOM	STOM	stomatin [Source:HGNC Symbol;Acc:HGNC:3383]	Gene
ENSG00000148218	ALAD	ALAD	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	Gene
ENSG00000148225	WDR31	WDR31	WD repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:21421]	Gene
ENSG00000148248	SURF4	SURF4	surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476]	Gene
ENSG00000148291	SURF2	SURF2	surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475]	Gene
ENSG00000148335	NTMT1	NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23373]	Gene
ENSG00000148343	MIGA2	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	Gene
ENSG00000148358	GPR107	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]	Gene
ENSG00000148384	INPP5E	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	Gene
ENSG00000148450	MSRB2	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	Gene
ENSG00000148459	PDSS1	PDSS1	decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]	Gene
ENSG00000148468	FAM171A1	FAM171A1	family with sequence similarity 171 member A1 [Source:HGNC Symbol;Acc:HGNC:23522]	Gene
ENSG00000148671	ADIRF	ADIRF	adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043]	Gene
ENSG00000148672	GLUD1	GLUD1	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	Gene
ENSG00000148677	ANKRD1	ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	Gene
ENSG00000148680	HTR7	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	Gene
ENSG00000148690	FRA10AC1	FRA10AC1	FRA10A associated CGG repeat 1 [Source:HGNC Symbol;Acc:HGNC:1162]	Gene
ENSG00000148702	HABP2	HABP2	hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798]	Gene
ENSG00000148795	CYP17A1	CYP17A1	cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593]	Gene
ENSG00000148798	INA	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	Gene
ENSG00000148832	PAOX	PAOX	polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]	Gene
ENSG00000148834	GSTO1	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	Gene
ENSG00000148842	CNNM2	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]	Gene
ENSG00000148843	PDCD11	PDCD11	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]	Gene
ENSG00000148925	BTBD10	BTBD10	BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]	Gene
ENSG00000148935	GAS2	GAS2	growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]	Gene
ENSG00000148950	IMMP1L	IMMP1L	inner mitochondrial membrane peptidase subunit 1 [Source:HGNC Symbol;Acc:HGNC:26317]	Gene
ENSG00000149043	SYT8	SYT8	synaptotagmin 8 [Source:HGNC Symbol;Acc:HGNC:19264]	Gene
ENSG00000149091	DGKZ	DGKZ	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	Gene
ENSG00000149124	GLYAT	GLYAT	glycine-N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:13734]	Gene
ENSG00000149257	SERPINH1	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	Gene
ENSG00000149260	CAPN5	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	Gene
ENSG00000149305	HTR3B	HTR3B	5-hydroxytryptamine receptor 3B [Source:HGNC Symbol;Acc:HGNC:5298]	Gene
ENSG00000149313	AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	Gene
ENSG00000149346	SLX4IP	SLX4IP	SLX4 interacting protein [Source:HGNC Symbol;Acc:HGNC:16225]	Gene
ENSG00000149403	GRIK4	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	Gene
ENSG00000149418	ST14	ST14	ST14 transmembrane serine protease matriptase [Source:HGNC Symbol;Acc:HGNC:11344]	Gene
ENSG00000149428	HYOU1	HYOU1	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	Gene
ENSG00000149435	GGTLC1	GGTLC1	gamma-glutamyltransferase light chain 1 [Source:HGNC Symbol;Acc:HGNC:16437]	Gene
ENSG00000149452	SLC22A8	SLC22A8	solute carrier family 22 member 8 [Source:HGNC Symbol;Acc:HGNC:10972]	Gene
ENSG00000149485	FADS1	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	Gene
ENSG00000149506	ZP1	ZP1	zona pellucida glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:13187]	Gene
ENSG00000149534	MS4A2	MS4A2	membrane spanning 4-domains A2 [Source:HGNC Symbol;Acc:HGNC:7316]	Gene
ENSG00000149541	B3GAT3	B3GAT3	beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]	Gene
ENSG00000149582	TMEM25	TMEM25	transmembrane protein 25 [Source:HGNC Symbol;Acc:HGNC:25890]	Gene
ENSG00000149716	LTO1	LTO1	LTO1 maturation factor of ABCE1 [Source:HGNC Symbol;Acc:HGNC:17589]	Gene
ENSG00000149781	FERMT3	FERMT3	FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151]	Gene
ENSG00000149809	TM7SF2	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	Gene
ENSG00000149927	DOC2A	DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	Gene
ENSG00000149948	HMGA2	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	Gene
ENSG00000149972	CNTN5	CNTN5	contactin 5 [Source:HGNC Symbol;Acc:HGNC:2175]	Gene
ENSG00000150281	CTF1	CTF1	cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]	Gene
ENSG00000150361	KLHL1	KLHL1	kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352]	Gene
ENSG00000150401	DCUN1D2	DCUN1D2	defective in cullin neddylation 1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20328]	Gene
ENSG00000150456	EEF1AKMT1	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	Gene
ENSG00000150540	HNMT	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	Gene
ENSG00000150627	WDR17	WDR17	WD repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:16661]	Gene
ENSG00000150628	SPATA4	SPATA4	spermatogenesis associated 4 [Source:HGNC Symbol;Acc:HGNC:17333]	Gene
ENSG00000150637	CD226	CD226	CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961]	Gene
ENSG00000150656	CNDP1	CNDP1	carnosine dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:20675]	Gene
ENSG00000150687	PRSS23	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	Gene
ENSG00000150722	PPP1R1C	PPP1R1C	protein phosphatase 1 regulatory inhibitor subunit 1C [Source:HGNC Symbol;Acc:HGNC:14940]	Gene
ENSG00000150773	PIH1D2	PIH1D2	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	Gene
ENSG00000150873	C2orf50	C2orf50	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]	Gene
ENSG00000150990	DHX37	DHX37	DEAH-box helicase 37 [Source:HGNC Symbol;Acc:HGNC:17210]	Gene
ENSG00000151033	LYZL2	LYZL2	lysozyme like 2 [Source:HGNC Symbol;Acc:HGNC:29613]	Gene
ENSG00000151090	THRB	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	TF
ENSG00000151092	NGLY1	NGLY1	N-glycanase 1 [Source:HGNC Symbol;Acc:HGNC:17646]	Gene
ENSG00000151093	OXSM	OXSM	3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]	Gene
ENSG00000151117	TMEM86A	TMEM86A	transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]	Gene
ENSG00000151151	IPMK	IPMK	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]	Gene
ENSG00000151164	RAD9B	RAD9B	RAD9 checkpoint clamp component B [Source:HGNC Symbol;Acc:HGNC:21700]	Gene
ENSG00000151176	PLBD2	PLBD2	phospholipase B domain containing 2 [Source:HGNC Symbol;Acc:HGNC:27283]	Gene
ENSG00000151233	GXYLT1	GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	Gene
ENSG00000151239	TWF1	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	Gene
ENSG00000151322	NPAS3	NPAS3	neuronal PAS domain protein 3 [Source:HGNC Symbol;Acc:HGNC:19311]	TF
ENSG00000151338	MIPOL1	MIPOL1	mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460]	Gene
ENSG00000151365	THRSP	THRSP	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]	Gene
ENSG00000151366	NDUFC2	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	Gene
ENSG00000151418	ATP6V1G3	ATP6V1G3	ATPase H+ transporting V1 subunit G3 [Source:HGNC Symbol;Acc:HGNC:18265]	Gene
ENSG00000151422	FER	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	Gene
